Price,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,OBV,ATRr_14,ADX_14,DMP_14,DMN_14,STOCHk_14_3_3,STOCHd_14_3_3
2023-02-28,23147.353515625,23585.384765625,23077.650390625,23521.837890625,20535363434.0,49.51236019870108,325.0705843465803,-166.4979553440004,491.5685396905807,22957.76707800922,23320.987890625,23684.208703240784,3.1149693513780883,0.26097959014304434,1149543250510.0,754.964814771919,30.55228375225511,26.09843429882184,19.115164467608345,48.68819880083796,50.56760974360859
2023-03-01,23646.55078125,23880.6328125,23088.626953125,23150.9296875,24662841200.0,54.02808653096043,308.079201968063,-146.79147017801415,454.87067214607714,22995.373922074963,23410.67265625,23825.97139042504,3.5479436261662856,0.7839860871097464,1174206091710.0,757.6106036721391,29.84997324956949,26.933266840518527,17.687808308286776,41.13941377731858,47.482807548316536
2023-03-02,23475.466796875,23739.138671875,23245.021484375,23647.01953125,20386398516.0,52.301537780696464,277.6082660009306,-141.80992491611727,419.41819091704787,23128.447155698803,23470.691015625,23812.9348755512,2.9163509476423912,0.5069771613302696,1153819693194.0,738.7896453741291,29.197827782789986,25.6465879998777,16.84281134515026,32.17726886033246,40.66829381282965
2023-03-03,22362.6796875,23479.34765625,22213.23828125,23476.6328125,26062404610.0,42.73543934798948,161.80205654946258,-206.09290749406824,367.8949640435308,22302.065820907024,23230.984375,24159.902929092976,7.997237991280563,0.03262603934752972,1127757288584.0,776.4553403474056,27.372474442165,22.659443011246314,24.3727705910471,22.257301453287408,31.85799469697947
2023-03-04,22353.349609375,22405.177734375,22198.98046875,22362.923828125,11166012913.0,42.66497818735824,68.48251805131076,-239.52995679377602,308.0124748450868,21905.255577597247,22997.080078125,24088.904578652753,9.495331553559314,0.20520423912504196,1116591275671.0,735.7226207243766,25.69811220487419,22.205825316412174,24.023277715396,12.50069555072939,22.311755288116405
2023-03-05,22435.513671875,22613.685546875,22307.142578125,22354.14453125,13317001733.0,43.54770141916693,1.142890104878461,-245.49566779216667,246.63855789704513,21694.87334302121,22854.712109375,24014.55087572879,10.149668574280792,0.31928590004891705,1129908277404.0,705.0669312976354,23.916033522140314,23.62856173744917,23.27723234589268,6.160050841846183,13.639349281954312
2023-03-06,22429.7578125,22584.29296875,22331.314453125,22436.81640625,17353192895.0,43.4971796410992,-52.08825892129971,-238.9814534546759,186.89319453337617,21744.63875224905,22611.353515625,23478.06827900095,7.66619090517538,0.3952390620313972,1112555084509.0,672.7749016067329,22.261246173887432,22.993928066788204,22.652034944093614,7.07772152067619,8.579489304417239
2023-03-07,22219.76953125,22527.41796875,22011.26171875,22428.322265625,22765452204.0,41.60096973160008,-109.9511786407129,-237.47549853927126,127.52431989855836,22204.56257815352,22360.2140625,22515.86554684648,1.39221819533043,0.04884936741955318,1089789632305.0,661.5878550633948,21.151761976413248,21.712545535688523,24.84516598162293,8.034321624632549,7.090697995718293
2023-03-08,21718.080078125,22268.896484375,21708.05078125,22216.44140625,22536575684.0,37.40545846810326,-194.05318119277945,-257.26200087307024,63.208819680290794,21695.00132954098,22231.294140625,22767.586951709018,4.824665695948022,0.021516928911810042,1067253056621.0,654.3919870677953,20.59049482144545,20.383352274915985,26.63382623960916,5.458156533016951,6.856733226108549
2023-03-09,20363.021484375,21802.716796875,20210.306640625,21720.080078125,30364664171.0,28.921326238122216,-365.8294735063064,-343.23063454927774,-22.59883895702864,20273.029439703714,21833.228515625,23393.427591546286,14.291968545144167,0.02883992371875564,1036888392450.0,721.3932848665243,21.756609964025156,17.16946664336705,37.26429061924497,4.13826247222583,5.876913543291763
2023-03-10,20187.244140625,20370.595703125,19628.25390625,20367.001953125,39578257695.0,28.033081205450145,-510.2651661478849,-390.13306175268497,-120.13210439519989,19512.029702746728,21383.574609375,23255.11951600327,17.50450933313785,0.18038959030235668,997310134755.0,722.889607152844,23.300617353664048,15.91007530681725,40.28218205678026,5.805979421419058,5.134132808887266
2023-03-11,20632.41015625,20792.525390625,20068.66015625,20187.876953125,30180288176.0,33.595407805362626,-582.1002270434437,-369.5744981185951,-212.52572892484866,19423.603295917914,21024.105078125,22624.60686033209,15.22539747836749,0.37763371268013984,1027490422931.0,722.9592948115694,23.976628378999592,18.940893874262347,37.401277798315796,13.560582073264243,7.83494132230303
2023-03-12,22163.94921875,22185.03125,20448.806640625,20628.029296875,29279035521.0,48.37796204518016,-509.57358057081365,-237.638281316772,-271.93529925404164,19445.518815309337,21012.941015625,22580.363215940666,14.918637035626245,0.8671659757317447,1056769458452.0,795.3353887089573,22.62980340863071,28.493462278508982,31.56932493762059,32.12979438286232,17.165451959181862
2023-03-13,24197.533203125,24550.837890625,21918.19921875,22156.40625,49466362688.0,60.84269283706719,-284.72037924671895,-10.228063994141849,-274.4923152525771,18477.543573025872,21508.831640625,24540.11970822413,28.18645027537206,0.9434915954110443,1106235821140.0,926.5713375065319,22.718981354227573,40.9485724582509,25.162399726087163,58.688936553213544,34.79310433644669
2023-03-14,24746.07421875,26514.716796875,24081.18359375,24201.765625,54622230164.0,63.40924891805473,-61.55040682901745,170.35352673884773,-231.90393356786518,18718.23480018652,22385.4421875,26052.64957481348,32.76421664220011,0.8218569038959301,1160858051304.0,1034.211470764994,23.87743003114495,47.62986558845987,20.933260844182506,75.5899777149531,55.469569550342975
2023-03-15,24375.9609375,25240.615234375,23964.91015625,24770.92578125,43655701450.0,60.526582806376,84.47458510028082,253.1028149345168,-168.62822983423598,20069.580233981207,23223.185546875,26376.790859768793,27.159110506423644,0.6827710312878685,1117202349854.0,1051.4610141478515,24.82951367552611,43.502162693967925,19.909017759847803,78.69416609251094,70.99102678689252
2023-03-16,25052.7890625,25190.326171875,24225.111328125,24373.45703125,33866061747.0,63.770244469580604,251.91094390414582,336.43133899070546,-84.52039508655962,22075.726922480833,24107.261328125,26138.79573376917,16.854128538226416,0.7327127051720265,1151068411601.0,1045.3005734051478,25.713591345308615,40.632931021980774,18.59589719808247,74.01023690897199,76.09812690547865
2023-03-17,27423.9296875,27787.8125,24955.169921875,25055.123046875,50730261335.0,72.3441912600416,569.3733154011388,523.1149683901588,46.258347010980074,22818.443341781633,25159.257421875,27500.07150196837,18.607974320085628,0.9837360397145823,1201798672936.0,1172.967859456566,27.628858045253168,49.441482105179084,15.388189638332019,81.08466989552163,77.92969096566817
2023-03-18,26965.87890625,27725.953125,26636.26171875,27448.1171875,35723036817.0,68.94959521046242,775.0691473813968,583.0486402963334,192.02050708506343,23238.176744772645,25712.9265625,28187.676380227356,19.249071564934628,0.7531472746810073,1166075636119.0,1167.0195413703827,29.407319980915965,46.143951438847616,14.361864676556479,88.07938080064532,81.05809586837962
2023-03-19,28038.67578125,28440.560546875,26907.716796875,26969.50390625,37769448859.0,72.2355532564489,1012.9733915553152,656.7623075762014,356.2110839791138,23548.46344756686,26371.446875,29194.430302433142,21.409393582491028,0.7952955532873891,1203845084978.0,1193.1498419867842,31.303659170407677,46.18760986526624,13.043954856616118,93.63555183058331,87.59986750891674
2023-03-20,27767.236328125,28527.724609375,27242.880859375,28041.6015625,44774027664.0,70.21095080864593,1166.168459629691,647.9659005204617,518.2025591092292,24927.880357394475,27049.701953125,29171.523548855526,15.688317744923584,0.6690845206882151,1159071057314.0,1199.699406844871,33.09411227520671,43.17331577721794,12.046118959605788,92.27364152278363,91.32952471800407
2023-03-21,28175.81640625,28439.5625,27439.646484375,27768.392578125,36102192830.0,71.50555741429159,1305.4966991437468,629.835312027614,675.6613871161328,26799.106271982666,27674.307421875,28549.508571767336,6.325008510966652,0.786510697818835,1195173250144.0,1185.4291646148802,34.756675872520105,40.57210655263057,11.320335563215878,94.31330838659852,93.40750057998848
